"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Открытие формы списка документа ""Пакет электронных документов"" (ПакетЭД)","1","0","Открытие формы списка документа ""Пакет электронных документов"" (ПакетЭД)","0"
"0","","0","Открытие формы обработки ""Обновление классификаторов"" (ОбновлениеКлассификаторов)","1","0","Открытие формы обработки ""Обновление классификаторов"" (ОбновлениеКлассификаторов)","0"
"0","","0","Открытие формы справочника ""Способы распределения по направлениям деятельности"" (СпособыРаспределенияПоНаправлениямДеятельности)","1","0","Открытие формы справочника ""Способы распределения по направлениям деятельности"" (СпособыРаспределенияПоНаправлениямДеятельности)","0"
"0","","0","Запись элемента плана видов характеристик ""Объекты журнала документов"" (CRM_ОбъектыЖурналаДокументов)","1","0","Запись элемента плана видов характеристик ""Объекты журнала документов"" (CRM_ОбъектыЖурналаДокументов)","0"
"0","","0","Открытие формы отчета ""Ведомость расчетов с поставщиками"" (РасчетыСПоставщиками)","1","0","Открытие формы отчета ""Ведомость расчетов с поставщиками"" (РасчетыСПоставщиками)","0"
"0","","0","Копирование элемента справочника ""Склады"" (Склады)","1","0","Копирование элемента справочника ""Склады"" (Склады)","0"
"0","","0","Открытие формы списка регистра накопления ""Себестоимость товаров"" (СебестоимостьТоваров)","1","0","Открытие формы списка регистра накопления ""Себестоимость товаров"" (СебестоимостьТоваров)","0"
"0","","0","Открытие формы справочника ""Пользователи ВетИС"" (ПользователиВЕТИС)","1","0","Открытие формы справочника ""Пользователи ВетИС"" (ПользователиВЕТИС)","0"
"0","","0","Копирование элемента документа ""Аннулирование подарочных сертификатов"" (АннулированиеПодарочныхСертификатов)","1","0","Копирование элемента документа ""Аннулирование подарочных сертификатов"" (АннулированиеПодарочныхСертификатов)","0"
"0","","0","Открытие формы списка документа ""Заявка на выдачу оборудования"" (ЗаявкаНаВыдачуОборудования)","1","0","Открытие формы списка документа ""Заявка на выдачу оборудования"" (ЗаявкаНаВыдачуОборудования)","0"
"0","","0","Копирование элемента справочника ""Группы статей доходов расходов"" (ЯРВЕТ_ГруппыСтатейДоходовРасходов)","1","0","Копирование элемента справочника ""Группы статей доходов расходов"" (ЯРВЕТ_ГруппыСтатейДоходовРасходов)","0"
"0","","0","Копирование элемента документа ""План сборки (разборки)"" (ПланСборкиРазборки)","1","0","Копирование элемента документа ""План сборки (разборки)"" (ПланСборкиРазборки)","0"
"0","","0","Копирование элемента группы справочника ""Служебные переменные (ЯрВет)"" (ярвет_СлужебныеПеременные)","1","0","Копирование элемента группы справочника ""Служебные переменные (ЯрВет)"" (ярвет_СлужебныеПеременные)","0"
"0","","0","Ввод на основании документа ""Заказ клиента""","1","0","Ввод на основании документа ""Заказ клиента""","0"
"0","","0","Открытие формы списка регистра сведений ""Учетные записи электронной почты"" (CRM_УчетныеЗаписиЭлектроннойПочты)","1","0","Открытие формы списка регистра сведений ""Учетные записи электронной почты"" (CRM_УчетныеЗаписиЭлектроннойПочты)","0"
"0","","0","Копирование элемента справочника ""Условия регионализации ВетИС"" (УсловияРегионализацииВЕТИС)","1","0","Копирование элемента справочника ""Условия регионализации ВетИС"" (УсловияРегионализацииВЕТИС)","0"
"0","","0","Копирование элемента документа ""План налогов"" (ПланНалогов)","1","0","Копирование элемента документа ""План налогов"" (ПланНалогов)","0"
"0","","0","Копирование элемента документа ""Факт начисления налогов"" (ФактНачисленияНалогов)","1","0","Копирование элемента документа ""Факт начисления налогов"" (ФактНачисленияНалогов)","0"
"0","","0","Открытие формы списка справочника ""Виды ИТ-сервисов"" (ВидыИТСервисов)","1","0","Открытие формы списка справочника ""Виды ИТ-сервисов"" (ВидыИТСервисов)","0"
"0","","0","Копирование элемента группы справочника ""Типы игрушек (ЯРВЕТ)"" (ЯРВЕТ_ТипыИгрушек)","1","0","Копирование элемента группы справочника ""Типы игрушек (ЯРВЕТ)"" (ЯРВЕТ_ТипыИгрушек)","0"
"0","","0","Открытие формы отчета ""Производительность работников склада"" (ПроизводительностьРаботниковСклада)","1","0","Открытие формы отчета ""Производительность работников склада"" (ПроизводительностьРаботниковСклада)","0"
